trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,num_distr,fixation.started,target.started,mouse.started,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.corr,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,10,11.763410700019449,11.763410700019449,0.026477200037334114,[0.1574074074074074],[0.41944444444444445],[1],[0],[0],[2.4827070999890566],[0],['target'],Stuti,001,2023-09-15_12h02.53.556,visualsearch,2023.1.3,59.978791512390494,
1,0,1,0,10,14.27611400000751,14.27611400000751,0.025558699970133603,[0.48518518518518516],[-0.025925925925925925],[1],[0],[0],[2.011898300028406],[0],['target'],Stuti,001,2023-09-15_12h02.53.556,visualsearch,2023.1.3,59.978791512390494,
2,0,2,0,10,16.317887599987444,16.317887599987444,0.025915599951986223,[0.09351851851851851],[0.21944444444444444],[1],[0],[0],[1.3704118999885395],[0],['target'],Stuti,001,2023-09-15_12h02.53.556,visualsearch,2023.1.3,59.978791512390494,
3,0,3,0,5,17.700960999995004,17.700960999995004,0.013023399980738759,[0.2777777777777778],[0.3574074074074074],[1],[0],[0],[2.718256200023461],[0],['target'],Stuti,001,2023-09-15_12h02.53.556,visualsearch,2023.1.3,59.978791512390494,
4,0,4,0,5,20.435821900027804,20.435821900027804,0.01289150002412498,[-0.1638888888888889],[-0.19444444444444445],[1],[0],[0],[1.8671417000005022],[0],['target'],Stuti,001,2023-09-15_12h02.53.556,visualsearch,2023.1.3,59.978791512390494,
5,0,5,0,10,22.337947199994233,22.337947199994233,0.026709600002504885,[-0.2953703703703704],[0.45925925925925926],[1],[0],[0],[3.554272999987006],[0],['target'],Stuti,001,2023-09-15_12h02.53.556,visualsearch,2023.1.3,59.978791512390494,
6,0,6,0,5,25.9085832000128,25.9085832000128,0.015466800017748028,[0.2037037037037037],[-0.04259259259259259],[1],[0],[0],[1.5623613999923691],[0],['target'],Stuti,001,2023-09-15_12h02.53.556,visualsearch,2023.1.3,59.978791512390494,
7,0,7,0,5,27.487160600023344,27.487160600023344,0.013253099983558059,[-0.4564814814814815],[0.18055555555555555],[1],[0],[0],[1.5171667000395246],[0],['target'],Stuti,001,2023-09-15_12h02.53.556,visualsearch,2023.1.3,59.978791512390494,
8,0,8,0,10,29.041471000004094,29.041471000004094,0.027828499965835363,[0.33425925925925926],[-0.0712962962962963],[1],[0],[0],[1.8521036999882199],[0],['target'],Stuti,001,2023-09-15_12h02.53.556,visualsearch,2023.1.3,59.978791512390494,
9,0,9,0,5,30.906182100006845,30.906182100006845,0.013729199999943376,[0.23796296296296296],[0.13240740740740742],[1],[0],[0],[1.1161483000032604],[0],['target'],Stuti,001,2023-09-15_12h02.53.556,visualsearch,2023.1.3,59.978791512390494,
10,0,10,0,5,32.04663320002146,32.04663320002146,0.020224699983373284,[-0.13148148148148148],[0.4981481481481482],[1],[0],[0],[2.7944319999660365],[0],['target'],Stuti,001,2023-09-15_12h02.53.556,visualsearch,2023.1.3,59.978791512390494,
11,0,11,0,10,34.872103600006085,34.872103600006085,0.02320899994811043,[0.4824074074074074],[0.125],[1],[0],[0],[3.3552515000337735],[0],['target'],Stuti,001,2023-09-15_12h02.53.556,visualsearch,2023.1.3,59.978791512390494,
12,0,12,0,5,38.240256100019906,38.240256100019906,0.013509000011254102,[-0.45925925925925926],[-0.07685185185185185],[1],[0],[0],[2.2850146999699064],[0],['target'],Stuti,001,2023-09-15_12h02.53.556,visualsearch,2023.1.3,59.978791512390494,
13,0,13,0,5,40.54916960000992,40.54916960000992,0.01715420000255108,[-0.22037037037037038],[-0.22592592592592592],[1],[0],[0],[0.9929019000264816],[0],['target'],Stuti,001,2023-09-15_12h02.53.556,visualsearch,2023.1.3,59.978791512390494,
14,0,14,0,5,41.569381600013,41.569381600013,0.01313300000037998,[0.16574074074074074],[-0.29907407407407405],[1],[0],[0],[1.7168781999498606],[0],['target'],Stuti,001,2023-09-15_12h02.53.556,visualsearch,2023.1.3,59.978791512390494,
15,0,15,0,10,43.31377370003611,43.31377370003611,0.028183700051158667,[0.2833333333333333],[0.45],[1],[0],[0],[2.8018627000274137],[0],['target'],Stuti,001,2023-09-15_12h02.53.556,visualsearch,2023.1.3,59.978791512390494,
16,0,16,0,10,46.14099560002796,46.14099560002796,0.02315909997560084,[0.32222222222222224],[0.0787037037037037],[1],[0],[0],[1.5237173000350595],[0],['target'],Stuti,001,2023-09-15_12h02.53.556,visualsearch,2023.1.3,59.978791512390494,
17,0,17,0,5,47.67727779998677,47.67727779998677,0.012720900005660951,[-0.46111111111111114],[-0.14166666666666666],[1],[0],[0],[1.567926499992609],[0],['target'],Stuti,001,2023-09-15_12h02.53.556,visualsearch,2023.1.3,59.978791512390494,
18,0,18,0,10,49.27422760002082,49.27422760002082,0.023406799999065697,[-0.41759259259259257],[0.39166666666666666],[1],[0],[0],[3.406631199992262],[0],['target'],Stuti,001,2023-09-15_12h02.53.556,visualsearch,2023.1.3,59.978791512390494,
19,0,19,0,5,52.69348140002694,52.69348140002694,0.01260120002552867,[0.26296296296296295],[0.03425925925925926],[1],[0],[0],[1.3678415000322275],[0],['target'],Stuti,001,2023-09-15_12h02.53.556,visualsearch,2023.1.3,59.978791512390494,
20,0,20,0,5,54.079253100033384,54.079253100033384,0.013608000008389354,[-0.22314814814814815],[-0.4212962962962963],[1],[0],[0],[1.7332064000074752],[0],['target'],Stuti,001,2023-09-15_12h02.53.556,visualsearch,2023.1.3,59.978791512390494,
21,0,21,0,10,55.8451298000291,55.8451298000291,0.025091499963309616,[0.4361111111111111],[0.030555555555555555],[1],[0],[0],[3.522103200026322],[0],['target'],Stuti,001,2023-09-15_12h02.53.556,visualsearch,2023.1.3,59.978791512390494,
22,0,22,0,10,59.395196500001475,59.395196500001475,0.025252799969166517,[0.22962962962962963],[-0.18333333333333332],[1],[0],[0],[1.871987899998203],[0],['target'],Stuti,001,2023-09-15_12h02.53.556,visualsearch,2023.1.3,59.978791512390494,
23,0,23,0,5,61.28064499999164,61.28064499999164,0.013276899990160018,[-0.20277777777777778],[0.20092592592592592],[1],[0],[0],[2.083728700003121],[0],['target'],Stuti,001,2023-09-15_12h02.53.556,visualsearch,2023.1.3,59.978791512390494,
24,0,24,0,10,63.396984299994074,63.396984299994074,0.024272400012705475,[0.028703703703703703],[-0.03981481481481482],[1],[0],[0],[3.8227119999937713],[0],['target'],Stuti,001,2023-09-15_12h02.53.556,visualsearch,2023.1.3,59.978791512390494,
25,0,25,0,10,67.24750410002889,67.24750410002889,0.023373500036541373,[-0.2851851851851852],[0.08333333333333333],[1],[0],[0],[1.573155099991709],[0],['target'],Stuti,001,2023-09-15_12h02.53.556,visualsearch,2023.1.3,59.978791512390494,
26,0,26,0,5,68.8336804000428,68.8336804000428,0.01358480000635609,[0.27685185185185185],[0.22870370370370371],[1],[0],[0],[1.132954599976074],[0],['target'],Stuti,001,2023-09-15_12h02.53.556,visualsearch,2023.1.3,59.978791512390494,
27,0,27,0,10,69.99906699999701,69.99906699999701,0.024182400025893003,[-0.06666666666666667],[0.08055555555555556],[1],[0],[0],[1.772452200006228],[0],['target'],Stuti,001,2023-09-15_12h02.53.556,visualsearch,2023.1.3,59.978791512390494,
28,0,28,0,10,71.79851510003209,71.79851510003209,0.02458739996654913,[0.08888888888888889],[0.14814814814814814],[1],[0],[0],[0.9725565999979153],[0],['target'],Stuti,001,2023-09-15_12h02.53.556,visualsearch,2023.1.3,59.978791512390494,
29,0,29,0,10,72.79804940003669,72.79804940003669,0.02426600002218038,[0.4324074074074074],[0.06388888888888888],[1],[0],[0],[2.2902300000423566],[0],['target'],Stuti,001,2023-09-15_12h02.53.556,visualsearch,2023.1.3,59.978791512390494,
30,0,30,0,5,75.10838869999861,75.10838869999861,0.01723519997904077,[0.47685185185185186],[0.2722222222222222],[1],[0],[0],[1.7620203000260517],[0],['target'],Stuti,001,2023-09-15_12h02.53.556,visualsearch,2023.1.3,59.978791512390494,
31,0,31,0,10,76.8974126999965,76.8974126999965,0.021878200001083314,[0.1037037037037037],[-0.33055555555555555],[1],[0],[0],[2.4586450000060722],[0],['target'],Stuti,001,2023-09-15_12h02.53.556,visualsearch,2023.1.3,59.978791512390494,
32,0,32,0,10,79.38398899999447,79.38398899999447,0.025937600003089756,[-0.36666666666666664],[0.002777777777777778],[1],[0],[0],[1.9050581000046805],[0],['target'],Stuti,001,2023-09-15_12h02.53.556,visualsearch,2023.1.3,59.978791512390494,
33,0,33,0,5,81.30247819999931,81.30247819999931,0.01224389998242259,[0.3416666666666667],[0.14629629629629629],[1],[0],[0],[1.718061299994588],[0],['target'],Stuti,001,2023-09-15_12h02.53.556,visualsearch,2023.1.3,59.978791512390494,
34,0,34,0,5,83.03837160003604,83.03837160003604,0.014634899969678372,[0.4842592592592593],[-0.18518518518518517],[1],[0],[0],[1.1157473999774083],[0],['target'],Stuti,001,2023-09-15_12h02.53.556,visualsearch,2023.1.3,59.978791512390494,
35,0,35,0,5,84.17107570002554,84.17107570002554,0.01353589998325333,[-0.47962962962962963],[0.10462962962962963],[1],[0],[0],[1.8499072000267915],[0],['target'],Stuti,001,2023-09-15_12h02.53.556,visualsearch,2023.1.3,59.978791512390494,
36,0,36,0,10,86.05492399999639,86.05492399999639,0.02271160000236705,[0.10462962962962963],[0.3990740740740741],[1],[0],[0],[2.2564093000255525],[0],['target'],Stuti,001,2023-09-15_12h02.53.556,visualsearch,2023.1.3,59.978791512390494,
37,0,37,0,5,88.32084870000836,88.32084870000836,0.012785899976734072,[-0.0962962962962963],[0.17314814814814813],[1],[0],[0],[1.5359397000283934],[0],['target'],Stuti,001,2023-09-15_12h02.53.556,visualsearch,2023.1.3,59.978791512390494,
38,0,38,0,10,89.88918920001015,89.88918920001015,0.023542099981568754,[0.48055555555555557],[0.33240740740740743],[1],[0],[0],[1.3556316000176594],[0],['target'],Stuti,001,2023-09-15_12h02.53.556,visualsearch,2023.1.3,59.978791512390494,
39,0,39,0,5,91.26094200002262,91.26094200002262,0.017336599994450808,[-0.4064814814814815],[-0.1935185185185185],[1],[0],[0],[1.4291345999808982],[0],['target'],Stuti,001,2023-09-15_12h02.53.556,visualsearch,2023.1.3,59.978791512390494,
40,0,40,0,10,92.72610930004157,92.72610930004157,0.02849110000533983,[0.4777777777777778],[-0.28888888888888886],[1],[0],[0],[1.4856612000148743],[0],['target'],Stuti,001,2023-09-15_12h02.53.556,visualsearch,2023.1.3,59.978791512390494,
41,0,41,0,5,94.22314170002937,94.22314170002937,0.013509700016584247,[0.05740740740740741],[0.262037037037037],[1],[0],[0],[1.0171046999748796],[0],['target'],Stuti,001,2023-09-15_12h02.53.556,visualsearch,2023.1.3,59.978791512390494,
42,0,42,0,10,95.27658710000105,95.27658710000105,0.023731899971608073,[-0.04351851851851852],[-0.017592592592592594],[1],[0],[0],[1.9225909000379033],[0],['target'],Stuti,001,2023-09-15_12h02.53.556,visualsearch,2023.1.3,59.978791512390494,
43,0,43,0,10,97.22569150000345,97.22569150000345,0.028297599987126887,[0.33425925925925926],[-0.03888888888888889],[1],[0],[0],[1.4693554999539629],[0],['target'],Stuti,001,2023-09-15_12h02.53.556,visualsearch,2023.1.3,59.978791512390494,
