trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,num_distr,fixation.started,target.started,mouse.started,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,5,79.79895620000025,79.79895620000025,0.021029899995482992,[0.2708333333333333],[-0.4224537037037037],[1],[0],[0],[2.9092734000005294],['target'],003,001,2023-09-27_10h56.34.961,Visual Search,2023.1.3,144.29473064333908,
1,0,1,0,5,82.71297310000227,82.71297310000227,0.013327699998626485,[0.19560185185185186],[0.4861111111111111],[1],[0],[0],[2.6115283999970416],['target'],003,001,2023-09-27_10h56.34.961,Visual Search,2023.1.3,144.29473064333908,
2,0,2,0,5,85.34234930000093,85.34234930000093,0.012474900002416689,[0.4710648148148148],[0.44907407407407407],[1],[0],[0],[2.094102400005795],['target'],003,001,2023-09-27_10h56.34.961,Visual Search,2023.1.3,144.29473064333908,
3,0,3,0,10,87.46513380000397,87.46513380000397,0.02353179999772692,[-0.2534722222222222],[-0.12962962962962962],[1],[0],[0],[2.1654959000006784],['target'],003,001,2023-09-27_10h56.34.961,Visual Search,2023.1.3,144.29473064333908,
4,0,4,0,10,89.65025620000233,89.65025620000233,0.02239539999573026,[-0.26851851851851855],[-0.06712962962962964],[1],[0],[0],[1.924117299997306],['target'],003,001,2023-09-27_10h56.34.961,Visual Search,2023.1.3,144.29473064333908,
5,0,5,0,5,91.59279909999896,91.59279909999896,0.012536499998532236,[-0.35300925925925924],[0.32407407407407407],[1],[0],[0],[1.8021841000008862],['target'],003,001,2023-09-27_10h56.34.961,Visual Search,2023.1.3,144.29473064333908,
6,0,6,0,5,93.41023520000454,93.41023520000454,0.01310189999639988,[0.1863425925925926],[0.3993055555555556],[1],[0],[0],[1.6264916000000085],['target'],003,001,2023-09-27_10h56.34.961,Visual Search,2023.1.3,144.29473064333908,
7,0,7,0,5,95.05456740000227,95.05456740000227,0.012832300002628472,[-0.17824074074074073],[-0.17708333333333334],[1],[0],[0],[1.281611200000043],['target'],003,001,2023-09-27_10h56.34.961,Visual Search,2023.1.3,144.29473064333908,
8,0,8,0,10,96.36551090000285,96.36551090000285,0.022828900000604335,[0.16898148148148148],[-0.13078703703703703],[1],[0],[0],[1.2293220999999903],['target'],003,001,2023-09-27_10h56.34.961,Visual Search,2023.1.3,144.29473064333908,
9,0,9,0,10,97.62071460000152,97.62071460000152,0.023893600002338644,[-0.03125],[-0.26851851851851855],[1],[0],[0],[1.2217173000026378],['target'],003,001,2023-09-27_10h56.34.961,Visual Search,2023.1.3,144.29473064333908,
10,0,10,0,10,98.86941510000179,98.86941510000179,0.022589999993215315,[0.2349537037037037],[-0.29398148148148145],[1],[0],[0],[1.6881040000007488],['target'],003,001,2023-09-27_10h56.34.961,Visual Search,2023.1.3,144.29473064333908,
11,0,11,0,10,100.58353640000132,100.58353640000132,0.026581799997074995,[-0.42476851851851855],[-0.16898148148148148],[1],[0],[0],[1.6425502999991295],['target'],003,001,2023-09-27_10h56.34.961,Visual Search,2023.1.3,144.29473064333908,
12,0,12,0,5,102.24190190000081,102.24190190000081,0.012638000000151806,[0.35300925925925924],[0.19444444444444445],[1],[0],[0],[1.4911093000046094],['target'],003,001,2023-09-27_10h56.34.961,Visual Search,2023.1.3,144.29473064333908,
